id;create_date;publish_date;title;description
1;2020-11-27;2020-11-28;wireless Computers Sports;Roads
2;2020-11-27;2020-11-27;Mandatory Dynamic;Wooden Shoes Bedfordshire
3;2020-11-27;2020-11-27;Bedfordshire;Tokelau hard drive Drive
4;2020-11-28;2020-11-28;e-services;Identity port Chips
5;2020-11-28;2020-11-28;Grocery deposit;benchmark
6;2020-11-28;2020-11-27;Checking Account;Granite Representative
7;2020-11-27;2020-11-27;Handcrafted Wooden Hat;bypassing
8;2020-11-28;2020-11-28;web services IB;override
9;2020-11-27;2020-11-28;frame client-driven;Ranch District
10;2020-11-28;2020-11-28;hack functionalities;violet intuitive
